,매출액_totlist,유동자산_totlist,유동부채_totlist,총자산_list,총부채_list
AJ네트웍스,"['10,455', '10,003', '8,720', '10,267', '8,720', '17.8']","['15,121', '5,011', '3,547', '2,739']","['16,091', '7,968', '7,089', '5,252']","['25,751', '18,033', '15,882', '13,550']","['20,833', '14,559', '13,002', '9,925']"
SK렌터카,"['6,525', '6,409', '8,635', '10,369', '8,635', '20.1']","['966', '1,952', '1,964', '3,092']","['5,956', '5,435', '6,929', '9,265']","['11,732', '16,452', '22,271', '28,602']","['9,262', '13,004', '17,641', '23,766']"
AK홀딩스,"['37,112', '37,595', '26,200', '31,677', '26,200', '20.9']","['13,067', '13,278', '11,853', '13,527']","['13,310', '15,655', '16,117', '18,739']","['33,979', '43,280', '41,521', '45,487']","['19,240', '28,980', '28,894', '33,464']"
BGF,"['2,206', '1,334', '1,544', '2,068', '1,544', '33.9']","['3,152', '3,197', '4,628', '4,688']","['577', '637', '690', '1,144']","['16,249', '16,574', '16,582', '19,816']","['1,091', '1,291', '1,211', '2,489']"
BGF리테일,"['57,759', '59,461', '61,813', '67,812', '61,813', '9.7']","['6,961', '7,441', '8,291', '8,083']","['7,637', '9,507', '10,034', '10,165']","['14,826', '21,724', '23,712', '25,964']","['9,609', '15,498', '16,743', '17,871']"
BNK금융지주,"['23,435', '21,868', '21,845', '25,718', '21,845', '17.7']","['32,128', '41,485', '45,051', '53,492']","['\xa0', '\xa0', '\xa0', '\xa0']","['987,936', '1,045,388', '1,141,569', '1,282,870']","['903,686', '953,576', '1,045,306', '1,180,639']"
BYC,"['1,979', '1,706', '1,619', '1,644', '1,619', '1.6']","['898', '1,183', '1,164', '1,333']","['821', '1,094', '1,212', '1,307']","['7,384', '6,939', '6,791', '6,844']","['3,310', '2,596', '2,265', '2,026']"
CJ,"['295,234', '337,797', '319,991', '344,840', '319,991', '7.8']","['88,694', '111,527', '111,181', '120,524']","['109,984', '122,847', '114,226', '125,461']","['317,295', '403,814', '400,250', '419,560']","['192,077', '257,663', '246,287', '254,925']"
CJ CGV,"['17,694', '19,423', '5,834', '7,363', '5,834', '26.2']","['4,970', '6,770', '9,494', '6,206']","['8,614', '11,202', '13,113', '9,754']","['22,342', '45,240', '43,549', '37,855']","['16,839', '39,229', '40,670', '34,842']"
CJ대한통운,"['92,197', '104,151', '107,811', '113,437', '107,811', '5.2']","['21,808', '23,222', '25,385', '23,482']","['26,140', '25,087', '28,076', '24,489']","['78,686', '91,100', '96,435', '89,939']","['47,378', '54,548', '56,036', '49,776']"
CJ씨푸드,"['1,507', '1,492', '1,491', '1,621', '1,491', '8.8']","['411', '383', '463', '512']","['589', '574', '437', '408']","['1,265', '1,273', '1,353', '1,334']","['647', '630', '695', '663']"
CJ제일제당,"['186,701', '223,525', '242,457', '262,892', '242,457', '8.4']","['55,224', '79,430', '74,699', '77,256']","['66,804', '82,022', '70,827', '79,159']","['194,970', '262,806', '256,119', '268,558']","['121,888', '167,992', '154,455', '160,490']"
LG헬로비전,"['11,780', '11,122', '10,579', '10,801', '10,579', '2.1']","['3,339', '3,323', '3,760', '4,353']","['3,545', '5,829', '4,224', '2,682']","['19,370', '17,907', '14,727', '14,881']","['8,843', '8,394', '8,416', '8,357']"
CS홀딩스,"['1,226', '1,350', '1,316', '1,590', '1,316', '20.8']","['1,885', '1,948', '1,899', '1,891']","['208', '191', '190', '292']","['3,044', '3,143', '3,237', '3,537']","['297', '281', '282', '415']"
DB,"['2,371', '2,385', '2,724', '3,269', '2,724', '20.0']","['837', '839', '886', '845']","['605', '592', '1,179', '506']","['2,884', '3,632', '4,725', '6,020']","['1,508', '1,522', '1,588', '1,642']"
DB금융투자,"['1,154', '1,086', '1,151', '1,173', '1,151', '1.9']","['14,495', '13,391', '19,058', '16,295']","['\xa0', '\xa0', '\xa0', '\xa0']","['70,432', '84,224', '99,596', '95,837']","['\xa0', '\xa0', '\xa0', '\xa0']"
DB손해보험,"['174,545', '186,761', '201,106', '208,806', '201,106', '3.8']","['13,555', '8,308', '6,779', '8,185']","['\xa0', '\xa0', '\xa0', '\xa0']","['509,291', '557,791', '600,544', '647,516']","['456,363', '496,340', '535,595', '580,191']"
DB하이텍,"['6,693', '8,074', '9,359', '12,147', '9,359', '29.8']","['3,834', '4,263', '4,592', '8,152']","['1,568', '2,197', '2,617', '3,353']","['10,665', '10,889', '11,786', '15,499']","['5,081', '4,442', '3,840', '4,439']"
DGB금융지주,"['13,794', '14,110', '14,287', '16,013', '14,287', '12.1']","['29,672', '31,813', '42,966', '44,924']","['\xa0', '\xa0', '\xa0', '\xa0']","['649,135', '724,044', '799,833', '859,060']","['598,579', '669,968', '742,147', '795,787']"
DRB동일,"['5,454', '5,470', '4,966', '5,513', '4,966', '11.0']","['3,073', '3,198', '3,604', '3,848']","['2,144', '2,237', '2,406', '3,118']","['7,162', '7,453', '7,764', '8,320']","['2,680', '2,838', '3,128', '3,564']"
DSR,"['2,360', '2,363', '2,310', '2,724', '2,310', '17.9']","['1,189', '1,237', '1,348', '1,857']","['728', '777', '814', '1,156']","['2,250', '2,404', '2,529', '3,026']","['776', '851', '900', '1,246']"
DSR제강,"['1,853', '1,915', '1,762', '2,071', '1,762', '17.6']","['899', '845', '866', '1,225']","['629', '529', '547', '825']","['2,054', '2,016', '2,063', '2,417']","['693', '598', '600', '879']"
E1,"['46,302', '46,083', '39,276', '51,523', '39,276', '31.2']","['14,464', '14,121', '13,581', '16,290']","['13,625', '11,029', '16,378', '13,117']","['35,654', '35,950', '37,314', '39,993']","['22,495', '23,917', '24,880', '26,259']"
F&F홀딩스,"['6,683', '9,103', '207', '7,271', '207', '3421.1']","['2,911', '4,001', '5,222', '6,832']","['998', '1,614', '2,428', '5,736']","['4,958', '6,844', '8,178', '29,123']","['1,010', '2,007', '2,661', '5,980']"
GKL,"['4,803', '4,908', '1,845', '851', '1,845', '-53.9']","['4,556', '4,571', '3,472', '2,370']","['1,686', '2,118', '1,288', '1,011']","['7,658', '9,094', '7,084', '5,313']","['2,037', '3,243', '2,221', '1,478']"
GS,"['177,444', '177,861', '154,442', '202,401', '154,442', '31.1']","['32,851', '31,175', '34,368', '53,889']","['45,688', '47,896', '39,978', '55,018']","['226,310', '247,341', '244,768', '311,913']","['121,060', '137,183', '137,203', '169,883']"
GS건설,"['131,394', '104,166', '101,229', '90,366', '101,229', '-10.7']","['78,282', '73,289', '72,519', '81,951']","['63,597', '58,009', '57,289', '67,693']","['120,333', '131,712', '137,707', '151,837']","['84,086', '90,282', '94,586', '103,110']"
GS글로벌,"['40,585', '38,894', '28,150', '38,490', '28,150', '36.7']","['8,009', '7,210', '5,608', '10,387']","['7,495', '6,726', '5,403', '9,266']","['13,360', '12,052', '9,568', '14,427']","['9,329', '8,253', '6,578', '11,002']"
GS리테일,"['86,916', '90,069', '88,623', '97,657', '88,623', '10.2']","['7,095', '8,004', '9,233', '11,839']","['17,204', '17,771', '16,822', '20,552']","['50,989', '70,497', '71,778', '94,560']","['26,405', '44,826', '45,106', '50,416']"
IHQ,"['1,094', '993', '810', '600', '810', '-26.0']","['784', '960', '957', '1,201']","['224', '190', '167', '1,185']","['2,313', '1,658', '1,463', '2,386']","['267', '290', '277', '1,204']"
JB금융지주,"['12,536', '12,326', '12,600', '14,525', '12,600', '15.3']","['23,463', '27,114', '27,811', '29,163']","['\xa0', '\xa0', '\xa0', '\xa0']","['467,798', '475,296', '533,755', '563,956']","['433,215', '437,098', '493,466', '520,690']"
JW생명과학,"['1,552', '1,702', '1,835', '1,698', '1,835', '-7.5']","['579', '599', '565', '644']","['731', '669', '693', '839']","['2,009', '2,014', '2,144', '2,195']","['916', '788', '819', '880']"
JW중외제약,"['5,372', '5,113', '5,473', '6,066', '5,473', '10.8']","['3,739', '3,351', '2,993', '3,665']","['2,284', '2,780', '2,347', '2,827']","['5,938', '5,732', '5,491', '6,331']","['3,337', '3,431', '3,416', '4,445']"
JW홀딩스,"['7,254', '7,264', '7,815', '7,889', '7,815', '0.9']","['6,435', '5,809', '4,613', '4,450']","['5,013', '6,513', '6,081', '4,951']","['12,756', '12,343', '11,136', '10,658']","['8,746', '8,918', '7,892', '7,610']"
KB금융,"['89,049', '91,968', '97,223', '112,296', '97,223', '15.5']","['202,745', '210,542', '257,089', '312,101']","['\xa0', '\xa0', '\xa0', '\xa0']","['4,795,883', '5,185,381', '6,107,199', '6,638,958']","['4,438,753', '4,794,188', '5,673,176', '6,156,019']"
KCC,"['30,810', '27,196', '50,836', '58,749', '50,836', '15.6']","['26,456', '32,303', '33,722', '36,681']","['14,222', '31,876', '30,141', '27,000']","['89,654', '93,822', '123,476', '128,789']","['32,241', '49,290', '71,016', '75,028']"
KCTC,"['4,004', '4,462', '4,887', '6,947', '4,887', '42.2']","['861', '991', '1,183', '1,582']","['1,022', '1,325', '1,301', '1,354']","['3,760', '4,243', '4,414', '5,323']","['1,864', '2,270', '2,322', '3,033']"
KC그린홀딩스,"['5,347', '6,989', '6,804', '7,508', '6,804', '10.3']","['3,418', '4,381', '3,635', '4,989']","['2,757', '3,817', '3,411', '4,652']","['6,708', '8,161', '7,761', '9,066']","['3,841', '5,218', '5,461', '6,466']"
KC코트렐,"['1,820', '3,006', '3,279', '3,550', '3,279', '8.3']","['1,420', '2,409', '1,891', '3,142']","['1,191', '2,155', '1,850', '2,653']","['2,195', '3,320', '2,819', '3,851']","['1,417', '2,558', '2,696', '3,351']"
KEC,"['2,174', '2,017', '2,010', '2,675', '2,010', '33.0']","['1,542', '1,455', '1,817', '2,005']","['855', '949', '863', '978']","['3,512', '3,342', '3,683', '4,006']","['1,258', '1,203', '1,996', '1,214']"
컨버즈,"['764', '458', '204', '409', '204', '99.9']","['398', '151', '184', '219']","['601', '294', '225', '171']","['649', '271', '321', '330']","['640', '306', '246', '234']"
KG케미칼,"['12,828', '20,684', '36,864', '49,315', '36,864', '33.8']","['6,642', '14,417', '13,218', '18,855']","['7,231', '15,878', '14,342', '18,159']","['15,086', '41,515', '43,235', '48,849']","['9,044', '28,000', '28,159', '30,974']"
KISCO홀딩스,"['12,886', '11,830', '10,646', '15,808', '10,646', '48.5']","['11,179', '10,948', '11,363', '12,584']","['2,419', '1,931', '1,967', '2,306']","['15,452', '15,573', '15,646', '16,881']","['2,661', '2,298', '2,298', '2,674']"
그린케미칼,"['2,541', '2,319', '2,424', '2,862', '2,424', '18.1']","['774', '815', '821', '1,035']","['715', '661', '516', '778']","['1,891', '1,868', '1,768', '2,117']","['818', '783', '636', '883']"
KPX케미칼,"['7,667', '7,657', '7,467', '10,208', '7,467', '36.7']","['3,193', '2,747', '3,542', '4,533']","['817', '496', '937', '1,885']","['5,353', '5,379', '6,370', '7,771']","['916', '556', '1,034', '1,991']"
KPX홀딩스,"['10,224', '9,727', '9,532', '12,387', '9,532', '30.0']","['5,804', '4,968', '6,527', '7,756']","['2,360', '1,850', '2,526', '3,424']","['14,166', '14,490', '16,987', '18,149']","['2,907', '2,677', '3,619', '4,454']"
KR모터스,"['366', '1,326', '1,178', '1,335', '1,178', '13.3']","['870', '527', '610', '697']","['706', '864', '841', '955']","['1,549', '1,441', '1,559', '1,684']","['850', '1,089', '1,060', '1,182']"
KSS해운,"['2,025', '2,312', '2,262', '3,240', '2,262', '43.2']","['447', '642', '725', '681']","['1,195', '1,682', '2,401', '3,816']","['9,045', '9,572', '10,695', '14,462']","['6,532', '6,762', '8,007', '11,034']"
KT,"['234,601', '243,421', '239,167', '248,980', '239,167', '4.1']","['118,943', '118,972', '111,542', '118,584']","['93,877', '101,481', '91,925', '100,724']","['321,888', '345,401', '336,625', '371,593']","['174,576', '193,566', '181,111', '205,922']"
KT&G,"['44,715', '49,632', '50,553', '52,284', '50,553', '3.4']","['64,134', '64,172', '67,504', '62,559']","['16,407', '16,001', '19,915', '20,639']","['101,979', '107,524', '114,684', '116,373']","['20,297', '20,129', '23,768', '24,284']"
다올투자증권,"['259', '242', '257', '589', '257', '129.0']","['6,500', '4,991', '9,148', '14,642']","['\xa0', '\xa0', '\xa0', '\xa0']","['17,507', '28,596', '43,563', '92,292']","['\xa0', '\xa0', '\xa0', '\xa0']"
KTcs,"['10,161', '9,449', '9,317', '9,657', '9,317', '3.7']","['2,955', '2,710', '2,899', '3,030']","['1,786', '1,630', '1,757', '1,896']","['3,503', '3,781', '3,849', '4,168']","['1,886', '2,140', '2,152', '2,342']"
LF,"['17,067', '18,517', '16,105', '17,931', '16,105', '11.3']","['9,701', '9,620', '10,829', '11,644']","['2,986', '7,100', '7,208', '6,132']","['16,518', '24,171', '24,794', '25,411']","['4,684', '10,256', '10,650', '10,428']"
LG,"['77,434', '65,345', '51,991', '68,590', '51,991', '31.9']","['46,131', '39,391', '58,959', '55,479']","['30,395', '22,448', '21,333', '28,193']","['228,359', '224,346', '242,823', '256,698']","['46,714', '34,136', '34,210', '37,296']"
LG디스플레이,"['243,366', '234,756', '242,616', '298,780', '242,616', '23.1']","['88,001', '102,483', '110,995', '131,871']","['99,545', '109,850', '110,069', '139,948']","['331,757', '355,746', '350,660', '381,545']","['182,895', '230,863', '223,346', '233,920']"
LX인터내셔널,"['99,882', '105,309', '112,826', '166,865', '112,826', '47.9']","['25,584', '24,840', '31,628', '43,765']","['21,674', '21,263', '25,183', '34,309']","['50,381', '48,760', '53,959', '67,469']","['34,885', '33,274', '36,376', '43,626']"
LG생활건강,"['67,475', '76,854', '78,445', '80,915', '78,445', '3.1']","['16,912', '21,631', '19,828', '24,729']","['13,589', '17,712', '14,797', '15,258']","['52,759', '64,937', '68,014', '75,552']","['16,819', '22,566', '19,522', '20,574']"
