,종목_list,2018_매출액,2019_매출액,2020_매출액,2021_매출액,2018_유동자산,2019_유동자산,2020_유동자산,2021_유동자산,2018_유동부채,2019_유동부채,2020_유동부채,2021_유동부채,2018_총자산,2019_총자산,2020_총자산,2021_총자산,2018_총부채,2019_총부채,2020_총부채,2021_총부채,2017_roa,2018_roa,2019_roa,2020_roa,2021_roa,2018_이익잉여금,2019_이익잉여금,2020_이익잉여금,2021_이익잉여금
104,TCC스틸,"4,132","4,372","4,318","5,367","1,522","1,490","1,369","2,020",932,"1,660","1,338","1,387","3,048","3,142","3,068","3,670","1,925","1,974","1,856","2,118",0.5,3.3,1.6,-0.5,8.5,713,742,767,"1,005"
105,WISCOM,"1,119","1,155","1,025","1,176",759,771,699,674,82,136,115,136,"1,278","1,351","1,307","1,353",106,166,139,151,0.1,0.8,0.8,-0.8,0.9,884,892,873,885
106,YG PLUS,936,"1,136","1,071","1,543",602,690,699,"1,109",228,338,424,580,"1,468","1,567","1,510","2,231",313,449,468,774,-7.7,-1.0,-2.8,-4.9,12.1,-116,-148,-211,9
107,가온전선,"8,407","8,303","8,574","10,704","2,778","2,648","2,858","4,019","1,475","1,681","1,923","2,465","5,265","5,126","5,425","6,590","2,661","2,558","2,789","3,909",0.3,0.0,1.1,1.8,1.0,"2,161","2,183","2,263","2,293"
108,강남제비스코,"3,070","3,325","3,408","5,910","1,879","1,788","2,011","2,969",604,599,686,"1,344","6,579","6,723","7,122","9,040","1,083","1,111","1,297","2,421",4.1,6.3,2.6,3.6,5.9,"4,401","4,505","4,710","5,204"
109,강원랜드,"14,381","15,201","4,786","7,884","17,590","18,782","14,982","16,570","6,360","6,513","3,300","5,068","42,312","44,381","36,416","38,273","6,445","7,204","3,946","5,745",10.7,7.1,7.7,-6.8,-0.3,"35,245","36,555","31,848","31,906"
111,경농,"2,127","2,275","2,483","2,703","1,700","1,850","1,925","2,065","1,283","1,226","1,340","1,231","3,573","3,709","3,715","3,888","1,558","1,690","1,602","1,520",3.1,1.4,1.1,3.6,4.2,"1,332","1,334","1,421","1,503"
112,경동나비엔,"7,267","7,743","8,734","11,029","2,870","2,743","3,604","4,756","2,751","2,703","3,380","4,347","5,836","6,098","7,347","9,339","3,035","3,088","3,865","4,835",5.8,4.6,4.7,6.2,9.7,"2,465","2,677","3,029","3,786"
113,경동도시가스,"16,065","14,227","10,868","14,572","4,442","3,952","3,285","5,304","3,759","3,212","2,606","4,517","7,783","7,500","6,997","9,045","4,578","4,104","3,430","5,291", ,4.6,3.2,2.6,2.8,448,640,791,961
114,경동인베스트,"2,286","2,717","3,105","2,985","1,885","2,365","2,371","2,323",784,847,745,611,"6,001","6,055","5,893","5,777","1,922","1,909","1,585","1,379",6.0,5.1,1.5,2.8,2.4,"5,543","5,810","5,986","6,076"
115,경방,"3,514","3,439","3,292","3,834","1,207","2,649","1,173","1,255","1,632","1,924","2,856","2,307","13,018","13,707","12,649","12,708","5,930","6,292","5,230","5,187",2.0,1.6,3.3,1.0,1.8,"7,032","7,422","7,519","7,710"
117,경인양행,"3,311","3,588","3,293","4,033","2,348","2,519","2,632","3,256","1,569","1,926","2,163","2,692","4,130","4,721","5,051","5,795","1,892","2,346","2,767","3,276",1.4,3.6,3.7,-1.6,5.0,"1,476","1,593","1,479","1,700"
118,경인전자,185,133,208,274,438,449,455,496,22,19,25,50,574,569,578,659,28,24,38,63,-4.8,-1.2,0.4,2.4,6.0,313,308,315,348
119,계룡건설,"22,927","22,757","22,000","25,618","10,784","12,772","13,519","15,981","10,054","11,532","10,261","10,922","17,262","20,046","20,703","23,271","12,864","15,019","14,643","15,727",3.7,5.7,4.0,4.7,7.1,"3,313","3,931","4,873","6,356"
120,계양전기,"3,651","3,750","3,797","3,923","1,351","1,444","1,632","1,518",544,659,982,919,"2,726","2,799","2,942","2,851",852,954,"1,085","1,018",3.7,3.6,0.1,3.3,-2.1,"1,295","1,262","1,273","1,219"
122,고려산업,"1,584","1,925","1,905","2,135","1,161","1,094",963,990,"1,035",952,"1,005","1,179","2,136","2,065","2,166","2,386","1,212","1,107","1,139","1,318",2.9,1.9,2.3,3.2,2.0,654,689,751,788
