name,18_score,19_score,20_score,21_score,Sector,19-18,21-20
신세계인터내셔날,22.59,25.74,17.49,26.93,섬유,3.15,9.44
신세계푸드,7.85,4.7,-6.92,3.24,음식점업,-3.15,10.16
신송홀딩스,-17.77,-54.23,6.88,12.99,산업용 농·축산물 및 동·식물 도매업,-36.46,6.11
신영와코루,12.13,10.15,7.9,10.34,봉제의복 제조업,-1.98,2.44
신원,-2.35,3.41,-4.58,10.49,봉제의복 제조업,5.76,15.07
신풍제약,4.3,6.66,7.42,-1.4,의약품 제조업,2.36,-8.82
신풍제지,19.21,38.28,84.35,-18.71,펄프,19.07,-103.06
신흥,10.6,4.08,31.36,34.96,기계장비 및 관련 물품 도매업,-6.52,3.6
쌍방울,-61.78,-32.72,-14.38,-15.19,봉제의복 제조업,29.06,-0.81
쌍용C&E,15.49,14.28,15.2,19.44,시멘트,-1.21,4.24
쌍용차,-7.57,-52.1,-87.35,-47.03,자동차용 엔진 및 자동차 제조업,-44.53,40.32
써니전자,29.08,8.39,55.43,26.49,전자부품 제조업,-20.69,-28.94
씨아이테크,-23.81,-27.86,-22.62,-25.64,그외 기타 제품 제조업,-4.05,-3.02
씨에스윈드,6.83,19.41,16.2,18.08,구조용 금속제품,12.58,1.88
아남전자,-31.0,3.23,12.07,20.71,영상 및 음향기기 제조업,34.23,8.64
아모레G,21.66,15.49,4.84,16.09,기타 화학제품 제조업,-6.17,11.25
